VCASE Output Table,,,,,,,,,
Target Column,Type,Source Table,Source Column,Type,Computed,Default,Rule Complexity,Rule/Crosswalk/Comment,Issue?
NonCoop_DATE,"Date(3,0)",T1044_CASE,UNWORK_RSN_EFF_DT,"Date(3,0)",,Default t1074.create_dt,M,"Rule:If the NonCoop_CODE has been set to O, move the max  t1074.create_dt to populate VCASE.noncoop_date.
ELSE IF
T1044.good_cause_rsn_cd is populated, use the contents of the reason code along with T1044.case_num to fetch the T1074 and use the max  t1074.create_dt to populate VCASE.noncoop_date
Else
If T1044.UNWORK_RSN_CD = UCNC move UNWORK_RSN_EFF_DT.",
NonCoop_DATE,"Date(3,0)",T1074_EVENT,CREATE_DT,"Date(3,0)",,Default Non Coop Date,,Non Coop date,
BeginValidity_DATE,"Date(3,0)",,,,,conversion date,,,
WorkerUpdate_ID,Char(30),,,,,conversion system worker,,,
TransactionEventSeq_NUMB,"Numb(19,0)",,,,X,,,Conversion generated sequence number,
Update_DTTM,"Date(8,7)",,,,,conversion date,,,
Referral_DATE,"Date(3,0)",,,,X,,L,"Rule:Where the case type has been converted as 'A' or 'F'
or
Where the case category has been converted as MO or PT
move the case open date.
If none of the above, move low date.",
CaseCategory_CODE,Char(2),T1044_CASE,UNWORK_RSN_CD,Char(4),,,M,"Rule:The  T1044.typ_cd   and   T1044.unwork_rsn_cd  are used together to convert to some codes:
Where T1044.typ_cd =  AFDC   and T1044.unwork_rsn_cd =   %PFA   move   PA
Where T1044.typ_cd =  AFDC   and T1044.unwork_rsn_cd =   all others   move   FS
Where T1044.typ_cd =  COLL    and T1044.unwork_rsn_cd =   %PFA move   PC
Where T1044.typ_cd =  COLL    and T1044.unwork_rsn_cd NOT EQUAL  %PFA move   CO
Where T1044.typ_cd =  DIRP   move   DP
Where T1044.typ_cd =  FC or FCE   move   FS
Where T1044.typ_cd =  MAO  and T1044.status_cd = CTRM or CLSD and T1044.unwork_rsn_cd =   %PFA   move   PA else move FS
Where T1044.typ_cd =  MAO  and T1044.unwork_rsn_cd =   %PFA   move   MO
Where T1044.typ_cd =  MAO   and T1044.unwork_rsn_cd =   UPEI   move   PT 
Where T1044.typ_cd =   MAO  and none of the above MAO rules apply move MO
Where T1044.typ_cd =  NPA   and T1044.unwork_rsn_cd =   %PFA   move   PA else move FS
Where T1044.typ_cd =  SARR   move   FS",Length
File_ID,Char(10),T1044_CASE,FAM_COURT_FILE,Char(11),,,H,"Rule:File ID for VFDEM File id where no fam_court_file
File id where no fam_court_file	Where  T1044.fam_court_file is blank, null, or all zeroes default the VCASE.file_id to the most recent T1061.file_num_txt  where T1061.file_num_txt is not equal to spaces.
Where  T1044.fam_court_file is blank, null, or all zeroes
and the most recent T1061.file_num_txt   is equal to spaces  AND a court order exists
default the VCASE.file_id to CONV followed by case_idno.
Where  T1044.fam_court_file is blank, null, or all zeroes and the above conditions are not met, move space.
",Length
ApplicationFee_CODE,Char(1),T1044_CASE,IVD_TYP_CD,Char(4),,,L,Rule:If the ivd_typ_cd = NPA and the PREV_IVD_TYP_CD is spaces or nulls move P else move space,Length
FeePaid_DATE,"Date(3,0)",,,,,low dates,,,
ServiceRequested_CODE,Char(1),,,,X,,L,Rule:If case type is H (Non IV-D) move N else move F,
FeeCheckNo_TEXT,Char(20),,,,,space,,,
ReasonFeeWaived_CODE,Char(2),,,,,space,,,
StatusEnforce_CODE,Char(4),T1044_CASE,UNWORK_RSN_CD,Char(4),,,,VCASE enforcement status code table lookup,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
