VSORD Output Table,,,,,,,,,,
Target Column,Type,Source Table,Source Column,Type,Computed,Default,Rule Complexity,Rule/XW/Comment,Issue?,
TypeOrder_CODE,Char(1),,,,,J (judicial final),,,,
ReviewRequested_DATE,"Date(3,0)",,,,,low date,,,,
NextReview_DATE,"Date(3,0)",,,,X,,M,"Rule:If case is NON IVD - move high dates 
ELSE
For court orders with current charging obligations (CS and MS):
add 3 years to T1049.court_date until this calculated date is 6 months or more from conversion date, then subtract 6 months from this date.
ELSE
move high dates. ",,
LastReview_DATE,"Date(3,0)",,,,,low date,,,,
LastNoticeSent_DATE,"Date(3,0)",,,,,low date,,,,
DirectPay_INDC,Char(1),T1044_CASE,IVD_TYP_CD,Char(4),,,,VSORD Direct Pay Indicator lookup table,Length,
SourceOrdered_CODE,Char(1),,,,,H (hearing),,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
