VOBL Output Table,,,,,,,,,
Target Column,Type,Source Table,Source Column,Type,Computed,Default,Rule Complexity,Rule/XW/Comment,Issue?
CHECKRECIPIENT_ID,Char(10),,,,X,,M,"Rule:A. If voble.FIPS_code <> '1000000' move the fips code. For South Carolina, use the T1048_uresa_cd or T1051.payment_fips_cd -whichever was used for VOBLE.Fips_CODE. 
B. If VCMEM.MEMBERMCI_IDNO for the client = '999998' then obtain and move the related VOTHP.OtherParty_IDNO for the division of family services.
C. If DebtType = GT (Genetic Testing)  then obtain and move the related VOTHP.OtherParty_IDNO for genetic testing.
D. Move VCMEM.MEMBERMCI_IDNO where CaseRelationShip_CODE = 'C'  when none of the above are true.",
CheckRecipient_CODE,Char(1),,,,X,,M,"Rule:If checkrecipient_idno represents a fips code move '2'
If checkrecipient_idno represents an agency (FC Foster care) or type is Genetic Testing move '3'
else move '1'.
LOV Disbursed To, REFM GENR/FUND.",
EventGlobalBeginSeq_NUMB,"Numb(19,0)",,,,,conversion generated,,,
EventGlobalEndSeq_NUMB,"Numb(19,0)",,,,,0,,,
BeginValidity_DATE,"Date(3,0)",,,,,Conversion date,,,
EndValidity_DATE,"Date(3,0)",,,,,HIGH DATE,,,
REASONCHANGE_CODE,Char(2),,,,,spaces,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
