Source Tables,,,,,,,,Output Tables (using source inputs),,,,,,,,
Output Table,Source Table,Source Column,Type,Used for Transformation,Mapping Scenario Type,Comments,,Output Table,Source Table,Source Column,Type,Business Rule,,,,
VCASE,T1044_CASE,APPL_REQ_DT,"Date(3,0)",Y,Direct,,,VDEMO,T1045_AP_EXT,BIRTH_CITY,Char(16),,,,,
VCASE,T1044_CASE,CASE_NUM,"Numb(6,0)",Y,Direct,,,VDEMO,T1045_AP_EXT,BIRTH_STATE,Char(2),,,,,
VCASE,T1044_CASE,CLOSING_CD,Char(4),Y,Cross walk,,,VDEMO,Default Value,BIRTH_ST,Char(2),,,,,
VCASE,T1044_CASE,FAM_COURT_FILE,Char(11),Y,Business Rule,Duplicate field because it is used to populate two tables,,VDEMO,T1045_AP_EXT,HEIGHT,Char(5),,,,,
VSORD,T1044_CASE,FAM_COURT_FILE,Char(11),Y,Business Rule,Duplicate field because it is used to populate two tables,,VDEMO,T1045_AP_EXT,WEIGHT,"Numb(5,0)",,,,,
VCASE,T1044_CASE,GOOD_CAUSE_RSN_CD,Char(4),Y,Business Rule,,,VDEMO,T1043_PART,ETHNIC_CD,Char(2),,,,,
VCASE,T1044_CASE,INIT_RESP_ST_CD,Char(1),Y,Business Rule,,,VDEMO,T1045_AP_EXT,HAIR_COLOR,Char(5),,,,,
VCASE,T1044_CASE,IVD_TYP_CD,Char(4),Y,Business Rule,,,VDEMO,T1045_AP_EXT,EYE_COLOR,Char(5),,,,,
VOBLE,T1044_CASE,LAST_CHRG_DT,"Date(3,0)",Y,Direct,,,VDEMO,Default Value,DEATH_DT,"Date(10,0)",,,,,
VCASE,T1044_CASE,MED_SUP_ONLY_IND,Char(1),Y,Direct,,,VDEMO,T1005_LS_LIC_MATCH,LIC_NUM,Char(12),,,,,
VOBLE,T1044_CASE,NEXT_CHARGE_DT,"Date(3,0)",Y,Direct,,,VDEMO,T1051_PART_ADDRESS,HSE_PHONE_NUM,"Numb(10,0)",,,,,
VCASE,T1044_CASE,RESP_WORKER_ID,Char(4),Y,Direct,,,VLSUP,VOBLE,Case_IDNO,"Numb(6,0)",,,,,
VCASE,T1044_CASE,STATUS_CD,Char(4),Y,Cross walk,Lookup,,VLSUP,VOBLE,OrderSeq_NUMB,"Numb(2,0)",,,,,
VCASE,T1044_CASE,STATUS_EFF_DT,"Date(3,0)",Y,Business Rule,,,VLSUP,VOBLE,ObligationSeq_NUMB,"Numb(2,0)",,,,,
VCASE,T1044_CASE,UNWORK_RSN_CD,Char(4),Y,Business Rule,,,VLSUP,Default Value,TypeWelfare_CODE,Char(1),,,,,
VCASE,T1044_CASE,UNWORK_RSN_EFF_DT,"Date(3,0)",Y,Business Rule,,,VLSUP,T1018_SS_DEBT,BAL_DUE,"Numb(10,2)",,,,,
VSORD,T1044_CASE,WAGE_SUPPRESS_IND,Char(1),Y,Direct,,,VLSUP,T1018_SS_DEBT,BAL_DUE,"Numb(10,2)",,,,,
,T1044_CASE,PROCESSING_CD,CHAR(4),,Default (Unused),,,VLSUP,T1048_SUB_ACCT,BALANCE,"Numb(10,2)",,,,,
,T1044_CASE,PROC_STS_EFF_DT,DATE,,Default (Unused),,,VLSUP,T1048_SUB_ACCT,BALANCE,"Numb(10,2)",,,,,
,T1044_CASE,CONTACT_WORKER_ID,CHAR(4),,Default (Unused),,,VLSUP,T1018_SS_DEBT,BAL_DUE,"Numb(10,2)",,,,,
,T1044_CASE,CREDIT_BUR_EFF_DT,DATE,,Default (Unused),,,VLSUP,VOBLE,CHECKRECIPIENT_ID,Char(10),,,,,
,T1044_CASE,IVD_TYP_EFF_DT,DATE,,Default (Unused),,,VLSUP,VOBLE,CheckRecipient_CODE,Char(1),,,,,
,T1044_CASE,PREV_IVD_TYP_CD,CHAR(4),Y,Business Rule,,,VSORD,T1049_COURT_ORDER,CASE_NUM,"Numb(6,0)",,,,,
,T1044_CASE,PREV_IVD_TYP_EF_DT,DATE,,Default (Unused),,,VSORD,T1044_CASE,FAM_COURT_FILE,Char(11),,,,,
,T1044_CASE,COUNTY_CD,CHAR(3),Y,Business Rule,VCASE Business Rule,,VSORD,T1049_COURT_ORDER,CREATE_DT,"Date(3,0)",,,,,
,T1044_CASE,DCIS2_CASE_NUM,VARCHAR(10),,Default (Unused),,,VSORD,T1049_COURT_ORDER,COURT_DT,"Date(3,0)",,,,,
,T1044_CASE,DCIS2_PGM_CD,CHAR(3),,Default (Unused),,,VSORD,T1049_COURT_ORDER,ORDER_START_DT,"Date(3,0)",,,,,
,T1044_CASE,DCIS2_SUB_PGM_CD,CHAR(1),,Default (Unused),,,VSORD,T1049_COURT_ORDER,ORDER_END_DT,"Date(3,0)",,,,,
,T1044_CASE,DCIS2_AG_SEQ_NUM,VARCHAR(22),,Default (Unused),,,VSORD,T1049_COURT_ORDER,ORDER_START_DT,"Date(3,0)",,,,,
