VDEMO Output Table,,,,,,,,,
Target Column,Type,Source Table,Source Column,Type,Computed,Default,Rule Complexity,Rule/XW/Comment,Issue?
BeginValidity_DATE,"Date(3,0)",,,,,CONVERSION DATE,,,
WorkerUpdate_ID,Char(30),,,,,CONVERSION,,,
TransactionEventSeq_NUMB,"Numb(19,0)",,,,X,,,System generated sequence number,
Update_DTTM,"Date(8,7)",,,,,CONVERSION DATE,,,
Disable_INDC,Char(1),,,,,N,,,
TypeOccupation_CODE,Char(3),,,,,Spaces,,,
COUNTYBIRTH_IDNO,"Numb(3,0)",,,,,zero,,,
MotherMaiden_NAME,Char(30),,,,,space,,,
FileLastDivorce_ID,Char(15),,,,,LOW DATE,,,
CityDivorce_NAME,Char(28),,,,,space,,,
CityMarriage_NAME,Char(28),,,,,space,,,
FormerMci_IDNO,"Numb(10,0)",,,,X,Default T0540 code. Don't use rule,,,
IveParty_IDNO,"Numb(10,0)",VDFSM,MEM_ID_PID,"Numb(10,0)",,,M,"Rule:Where VDFSM.mem_id_mci exists in VCMEM where person is a DP move VDFSM. MEM_ID_PID to VDEMO. IveParty_IDNO
Else move zero",
StateDivorce_CODE,Char(2),,,,,space,,,
StateMarriage_CODE,Char(2),,,,,space,,,
TribalAffiliations_CODE,Char(3),,,,,space,,,
,,,,,,,,,
,,,,,,,,,
